Status: Downloading, Progress: 0%, Peers: 3, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 3, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 3, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 3, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 3, Speed: 48K/s, ETA: 17m30s, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 3, Speed: 48K/s, ETA: 17m30s, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 3, Speed: 48K/s, ETA: 17m30s, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 3, Speed: 48K/s, ETA: 17m30s, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 3, Speed: 48K/s, ETA: 17m30s, Upload Speed 0K/s
Status: Downloading, Progress: 1%, Peers: 7, Speed: 48K/s, ETA: 17m30s, Upload Speed 0K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 48K/s, ETA: 17m30s, Upload Speed 0K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 48K/s, ETA: 17m30s, Upload Speed 0K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 48K/s, ETA: 17m30s, Upload Speed 0K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 48K/s, ETA: 17m30s, Upload Speed 0K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 48K/s, ETA: 17m30s, Upload Speed 2K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 48K/s, ETA: 17m30s, Upload Speed 2K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 48K/s, ETA: 17m30s, Upload Speed 2K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 48K/s, ETA: 17m30s, Upload Speed 2K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 48K/s, ETA: 17m30s, Upload Speed 2K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 48K/s, ETA: 17m30s, Upload Speed 4K/s
Status: Downloading, Progress: 2%, Peers: 9, Speed: 48K/s, ETA: 17m30s, Upload Speed 4K/s
Status: Downloading, Progress: 2%, Peers: 8, Speed: 48K/s, ETA: 17m0s, Upload Speed 4K/s
Status: Downloading, Progress: 2%, Peers: 8, Speed: 48K/s, ETA: 17m0s, Upload Speed 4K/s
Status: Downloading, Progress: 2%, Peers: 8, Speed: 48K/s, ETA: 17m0s, Upload Speed 4K/s
Status: Downloading, Progress: 2%, Peers: 8, Speed: 48K/s, ETA: 17m0s, Upload Speed 6K/s
Status: Downloading, Progress: 2%, Peers: 8, Speed: 48K/s, ETA: 17m0s, Upload Speed 6K/s
Status: Downloading, Progress: 2%, Peers: 8, Speed: 48K/s, ETA: 17m0s, Upload Speed 6K/s
